Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,slug,code
1,Max Aarons,eng ENG,DF,Norwich City,21-248,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.11,0.13,0.01,0.13,Matches,Max-Aarons,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25-058,1996,3,3,250,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0.3,0.3,0.9,1.2,0.13,0.32,0.45,0.13,0.45,Matches,Che-Adams,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,FW,Wolves,20-095,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.35,0.00,0.35,0.35,0.35,Matches,Rayan-Ait-Nouri,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23-145,1998,3,3,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.03,0.10,0.13,0.03,0.13,Matches,Kristoffer-Ajer,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26-203,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.20,0.00,0.20,0.20,0.20,Matches,Nathan-Ake,eaeca114
6,Marc Albrighton,eng ENG,MF,Leicester City,31-295,1989,1,1,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Marc-Albrighton,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30-151,1991,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.14,0.13,0.26,0.14,0.26,Matches,Thiago-Alcantara,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-337,1998,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,1.8,2.0,0.06,0.60,0.67,0.06,0.67,Matches,Trent-Alexander-Arnold,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28-342,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Alisson,7a2e46a8
10,Allan,br BRA,MF,Everton,30-244,1991,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.2,0.3,0.01,0.08,0.09,0.01,0.09,Matches,Allan,cc700722
11,Dele Alli,eng ENG,MF,Tottenham,25-151,1996,3,3,270,3.0,1,0,0,1,1,1,0,0.33,0.00,0.33,0.00,0.00,1.0,0.3,0.0,0.3,0.34,0.00,0.34,0.09,0.09,Matches,Dele-Alli,cea4ee8f
12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-211,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches,Miguel-Almiron,862a1c15
13,Marcos Alonso,es ESP,DF,Chelsea,30-255,1990,3,3,265,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.1,0.1,0.6,0.7,0.04,0.21,0.25,0.04,0.25,Matches,Marcos-Alonso,f4290206
14,Steven Alzate,co COL,MF,Brighton,23-001,1998,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.17,0.17,0.00,0.17,Matches,Steven-Alzate,ad1f61f3
15,Daniel Amartey,gh GHA,DF,Leicester City,26-262,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,Daniel-Amartey,1a4ef233
16,Joachim Andersen,dk DEN,DF,Crystal Palace,25-101,1996,3,2,214,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.08,0.02,0.08,Matches,Joachim-Andersen,e34fc66d
17,Michail Antonio,jm JAM,FW,West Ham,31-165,1990,3,3,267,3.0,4,3,4,0,1,0,0,1.35,1.01,2.36,1.35,2.36,2.5,2.2,1.2,3.4,0.84,0.40,1.24,0.75,1.15,Matches,Michail-Antonio,ac05f970
18,Adam Armstrong,eng ENG,FW,Southampton,24-211,1997,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,1.1,1.1,0.4,1.5,0.37,0.15,0.52,0.37,0.52,Matches,Adam-Armstrong,68c720b5
19,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-083,1989,2,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Pierre-Emerick-Aubameyang,d5dd5f1f
20,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-363,1991,3,2,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.07,0.11,0.04,0.11,Matches,Jordan-Ayew,da052c14
21,Luke Ayling,eng ENG,DF,Leeds United,30-015,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,Luke-Ayling,420d7c7d
22,César Azpilicueta,es ESP,DF,Chelsea,32-012,1989,3,3,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,Cesar-Azpilicueta,53cad200
23,Daniel Bachmann,at AUT,GK,Watford,27-062,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Daniel-Bachmann,1c0eea98
24,Leon Bailey,jm JAM,"MF,FW",Aston Villa,24-031,1997,1,0,31,0.3,0,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,0.1,0.1,0.1,0.1,0.20,0.15,0.35,0.20,0.35,Matches,Leon-Bailey,3a233281
25,Folarin Balogun,eng ENG,FW,Arsenal,20-068,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.36,0.00,0.36,0.36,0.36,Matches,Folarin-Balogun,31822f8c
26,Patrick Bamford,eng ENG,FW,Leeds United,28-004,1993,3,3,256,2.8,1,1,1,0,0,1,0,0.35,0.35,0.70,0.35,0.70,1.7,1.7,0.5,2.2,0.60,0.18,0.78,0.60,0.78,Matches,Patrick-Bamford,93feac6e
27,Shandon Baptiste,gd GRN,MF,Brentford,23-154,1998,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Shandon-Baptiste,2886c9b5
28,Ashley Barnes,eng ENG,FW,Burnley,31-314,1989,3,2,189,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.8,0.16,0.21,0.37,0.16,0.37,Matches,Ashley-Barnes,2691c772
29,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-274,1997,3,3,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.11,0.01,0.12,0.11,0.12,Matches,Harvey-Barnes,3ea50f67
30,Mads Bech Sørensen,dk DEN,DF,Brentford,22-245,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Mads-Bech-Sorensen,30db8574
31,Jan Bednarek,pl POL,"DF,MF",Southampton,25-150,1996,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Jan-Bednarek,4115ce4e
32,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26-030,1995,3,3,264,2.9,2,2,2,0,0,0,0,0.68,0.68,1.36,0.68,1.36,1.0,1.0,0.4,1.5,0.35,0.15,0.50,0.35,0.50,Matches,Said-Benrahma,5a04fd92
33,Christian Benteke,be BEL,FW,Crystal Palace,30-280,1990,3,2,214,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,0.2,0.2,0.2,0.4,0.09,0.08,0.17,0.09,0.17,Matches,Christian-Benteke,ab070c55
34,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-317,1990,3,3,230,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.01,0.16,0.15,0.16,Matches,Johann-Berg-Gudmundsson,f72293fc
35,Steven Bergwijn,nl NED,FW,Tottenham,23-336,1997,3,3,232,2.6,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.8,0.8,0.4,1.2,0.30,0.16,0.46,0.30,0.46,Matches,Steven-Bergwijn,a29b1131
36,Mads Bidstrup,dk DEN,MF,Brentford,20-196,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Mads-Bidstrup,407db0d5
37,Yves Bissouma,ml MLI,MF,Brighton,25-010,1996,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.4,0.4,0.02,0.12,0.14,0.02,0.14,Matches,Yves-Bissouma,6c203af0
38,Jarrod Bowen,eng ENG,FW,West Ham,24-263,1996,3,3,257,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.18,0.27,0.45,0.18,0.45,Matches,Jarrod-Bowen,79c84d1c
39,Armando Broja,al ALB,FW,Southampton,19-364,2001,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Armando-Broja,97220da2
40,Josh Brownhill,eng ENG,MF,Burnley,25-264,1995,3,2,192,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches,Josh-Brownhill,47369df8
41,Bryan,es ESP,FW,Tottenham,20-210,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Bryan,7b5ab7f2
42,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24-258,1996,3,3,246,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11,Matches,Emi-Buendia,66b76d44
43,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-177,1997,3,3,248,2.8,3,0,1,2,2,0,0,1.09,0.00,1.09,0.36,0.36,3.8,2.3,0.1,2.4,1.39,0.05,1.44,0.83,0.89,Matches,Dominic-Calvert-Lewin,59e6e5bf
44,João Cancelo,pt POR,DF,Manchester City,27-105,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.3,0.21,0.20,0.42,0.21,0.42,Matches,Joao-Cancelo,bd6351cd
45,Sergi Canós,es ESP,DF,Brentford,24-219,1997,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.3,0.3,0.3,0.6,0.10,0.11,0.21,0.10,0.21,Matches,Sergi-Canos,1137759d
46,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23-194,1998,3,3,265,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.05,0.07,0.11,0.05,0.11,Matches,Todd-Cantwell,f63d8a4b
47,Matty Cash,eng ENG,DF,Aston Villa,24-033,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,Matty-Cash,2389cdc2
48,Timothy Castagne,be BEL,DF,Leicester City,25-278,1995,1,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Timothy-Castagne,197640fd
49,Craig Cathcart,nir NIR,DF,Watford,32-215,1989,3,3,204,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Craig-Cathcart,89e4b358
50,Edinson Cavani,uy URU,FW,Manchester Utd,34-207,1987,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Edinson-Cavani,527f063d
51,Trevoh Chalobah,eng ENG,DF,Chelsea,22-066,1999,2,1,94,1.0,1,0,1,0,0,0,0,0.96,0.00,0.96,0.96,0.96,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Trevoh-Chalobah,5515376c
52,Calum Chambers,eng ENG,DF,Arsenal,26-232,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches,Calum-Chambers,dc6f5bdd
53,Andreas Christensen,dk DEN,DF,Chelsea,25-152,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Andreas-Christensen,1cb49278
54,Carney Chukwuemeka,eng ENG,MF,Aston Villa,17-245,2004,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Carney-Chukwuemeka,b2f9c73e
55,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-348,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.33,0.03,0.36,0.33,0.36,Matches,Ciaran-Clark,2b91cf8e
56,Tom Cleverley,eng ENG,MF,Watford,32-028,1989,3,2,188,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.2,0.2,0.0,0.2,0.07,0.02,0.09,0.07,0.09,Matches,Tom-Cleverley,6cdd8245
57,Conor Coady,eng ENG,DF,Wolves,28-196,1993,3,3,266,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,Conor-Coady,2928dca2
58,Séamus Coleman,ie IRL,DF,Everton,32-333,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.05,0.06,0.01,0.06,Matches,Seamus-Coleman,0420d84f
59,Aaron Connolly,ie IRL,FW,Brighton,21-224,2000,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.85,0.00,0.85,0.85,0.85,Matches,Aaron-Connolly,27c01749
60,Liam Cooper,sct SCO,DF,Leeds United,30-010,1991,3,3,270,3.0,0,1,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches,Liam-Cooper,dc64b8b3
61,Jack Cork,eng ENG,MF,Burnley,32-076,1989,2,2,174,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,Jack-Cork,74e12f1e
62,Hélder Costa,pt POR,MF,Leeds United,27-240,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches,Helder-Costa,f13d02a6
63,Vladimír Coufal,cz CZE,DF,West Ham,29-018,1992,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,1.3,1.3,0.00,0.43,0.43,0.00,0.43,Matches,Vladimir-Coufal,fdf3cb77
64,Aaron Cresswell,eng ENG,DF,West Ham,31-268,1989,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,Aaron-Cresswell,4f974391
65,Cucho,co COL,"FW,MF",Watford,22-142,1999,3,0,96,1.1,1,0,1,0,0,0,0,0.94,0.00,0.94,0.94,0.94,0.1,0.1,0.0,0.1,0.10,0.00,0.10,0.10,0.10,Matches,Cucho,71b47ab9
66,Patson Daka,zm ZAM,"MF,FW",Leicester City,22-335,1998,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Patson-Daka,ca45605e
67,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30-143,1991,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.2,0.2,0.01,0.05,0.06,0.01,0.06,Matches,Stuart-Dallas,67ca8566
68,Diogo Dalot,pt POR,FW,Manchester Utd,22-175,1999,1,0,1,0.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Diogo-Dalot,d9565625
69,Craig Dawson,eng ENG,DF,West Ham,31-126,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.15,0.02,0.17,0.15,0.17,Matches,Craig-Dawson,3e9e06cb
70,Kevin De Bruyne,be BEL,MF,Manchester City,30-073,1991,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.24,0.14,0.38,0.24,0.38,Matches,Kevin-De-Bruyne,e46012d4
71,Troy Deeney,eng ENG,FW,Watford,33-072,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches,Troy-Deeney,82e34b69
72,Fabian Delph,eng ENG,MF,Everton,31-292,1989,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Fabian-Delph,111c3236
73,Leander Dendoncker,be BEL,MF,Wolves,26-147,1995,2,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,Leander-Dendoncker,5a7301ae
74,Emmanuel Dennis,ng NGA,"FW,MF",Watford,23-298,1997,3,3,245,2.7,1,1,1,0,0,1,0,0.37,0.37,0.73,0.37,0.73,0.9,0.9,0.3,1.2,0.35,0.09,0.44,0.35,0.44,Matches,Emmanuel-Dennis,2c44a35d
75,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-003,1998,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Kiernan-Dewsbury-Hall,5c74c0f5
76,Ibrahima Diallo,fr FRA,MF,Southampton,22-185,1999,3,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.53,0.00,0.53,0.53,0.53,Matches,Ibrahima-Diallo,11ff3d56
77,Raphael Dias Belloli,br BRA,"MF,FW",Leeds United,24-269,1996,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,1.0,1.0,0.3,1.2,0.32,0.08,0.40,0.32,0.40,Matches,Raphael-Dias-Belloli,3423f250
78,Rúben Dias,pt POR,DF,Manchester City,24-118,1997,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.7,0.7,0.00,0.25,0.25,0.00,0.25,Matches,Ruben-Dias,31c69ef1
79,Eric Dier,eng ENG,DF,Tottenham,27-237,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.05,0.08,0.04,0.08,Matches,Eric-Dier,ac861941
80,Lucas Digne,fr FRA,DF,Everton,28-051,1993,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.09,0.12,0.04,0.12,Matches,Lucas-Digne,1b84dbe1
81,Virgil van Dijk,nl NED,DF,Liverpool,30-063,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.23,0.01,0.25,0.23,0.25,Matches,Virgil-van-Dijk,e06683ca
82,Moussa Djenepo,ml MLI,MF,Southampton,23-086,1998,3,3,216,2.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,1.3,0.54,0.02,0.56,0.54,0.56,Matches,Moussa-Djenepo,254147d4
83,Matt Doherty,ie IRL,DF,Tottenham,29-236,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Matt-Doherty,d557d734
84,Abdoulaye Doucouré,fr FRA,MF,Everton,28-251,1993,3,3,270,3.0,1,1,1,0,0,2,0,0.33,0.33,0.67,0.33,0.67,0.4,0.4,0.2,0.6,0.13,0.07,0.20,0.13,0.20,Matches,Abdoulaye-Doucoure,02b29014
85,Kieran Dowell,eng ENG,MF,Norwich City,23-334,1997,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,1.37,1.37,0.00,1.37,Matches,Kieran-Dowell,2f6ec02a
86,Shane Duffy,ie IRL,DF,Brighton,29-251,1992,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches,Shane-Duffy,7314bba4
87,Lewis Dunk,eng ENG,DF,Brighton,29-292,1991,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Lewis-Dunk,282f75f3
88,Ederson,br BRA,GK,Manchester City,28-023,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Ederson,3bb7b8b4
